sido,sigungu,car_type,car_purpose,year,month,value
서울,도봉구,승합,관용,2025,05,49
서울,도봉구,승합,자가용,2025,05,"2,108"
서울,도봉구,승합,영업용,2025,05,563
서울,도봉구,승합,계,2025,05,"2,720"
서울,도봉구,화물,관용,2025,05,123
서울,도봉구,화물,자가용,2025,05,"7,807"
서울,도봉구,화물,영업용,2025,05,"2,036"
서울,도봉구,화물,계,2025,05,"9,966"
서울,도봉구,특수,관용,2025,05,12
서울,도봉구,특수,자가용,2025,05,194
서울,도봉구,특수,영업용,2025,05,154
서울,도봉구,특수,계,2025,05,360
서울,도봉구,총계,관용,2025,05,277
서울,도봉구,총계,자가용,2025,05,"86,126"
서울,도봉구,총계,영업용,2025,05,"7,289"
서울,도봉구,총계,계,2025,05,"93,692"
서울,동대문구,승용,관용,2025,05,108
서울,동대문구,승용,자가용,2025,05,"85,880"
서울,동대문구,승용,영업용,2025,05,"2,773"
서울,동대문구,승용,계,2025,05,"88,761"
서울,동대문구,승합,관용,2025,05,60
서울,동대문구,승합,자가용,2025,05,"2,401"
서울,동대문구,승합,영업용,2025,05,129
서울,동대문구,승합,계,2025,05,"2,590"
서울,동대문구,화물,관용,2025,05,134
서울,동대문구,화물,자가용,2025,05,"9,537"
서울,동대문구,화물,영업용,2025,05,"2,242"
서울,동대문구,화물,계,2025,05,"11,913"
서울,동대문구,특수,관용,2025,05,11
서울,동대문구,특수,자가용,2025,05,199
서울,동대문구,특수,영업용,2025,05,99
서울,동대문구,특수,계,2025,05,309
서울,동대문구,총계,관용,2025,05,313
서울,동대문구,총계,자가용,2025,05,"98,017"
서울,동대문구,총계,영업용,2025,05,"5,243"
서울,동대문구,총계,계,2025,05,"103,573"
서울,동작구,승용,관용,2025,05,117
서울,동작구,승용,자가용,2025,05,"94,389"
서울,동작구,승용,영업용,2025,05,"1,234"
서울,동작구,승용,계,2025,05,"95,740"
서울,동작구,승합,관용,2025,05,43
서울,동작구,승합,자가용,2025,05,"2,045"
서울,동작구,승합,영업용,2025,05,128
서울,동작구,승합,계,2025,05,"2,216"
서울,동작구,화물,관용,2025,05,136
서울,동작구,화물,자가용,2025,05,"6,292"
서울,동작구,화물,영업용,2025,05,"1,143"
서울,동작구,화물,계,2025,05,"7,571"
서울,동작구,특수,관용,2025,05,17
서울,동작구,특수,자가용,2025,05,139
서울,동작구,특수,영업용,2025,05,177
서울,동작구,특수,계,2025,05,333
서울,동작구,총계,관용,2025,05,313
서울,동작구,총계,자가용,2025,05,"102,865"
서울,동작구,총계,영업용,2025,05,"2,682"
서울,동작구,총계,계,2025,05,"105,860"
서울,마포구,승용,관용,2025,05,97
서울,마포구,승용,자가용,2025,05,"101,450"
서울,마포구,승용,영업용,2025,05,"4,211"
서울,마포구,승용,계,2025,05,"105,758"
서울,마포구,승합,관용,2025,05,55
서울,마포구,승합,자가용,2025,05,"2,363"
서울,마포구,승합,영업용,2025,05,674
서울,마포구,승합,계,2025,05,"3,092"
서울,마포구,화물,관용,2025,05,171
서울,마포구,화물,자가용,2025,05,"9,117"
서울,마포구,화물,영업용,2025,05,"2,636"
서울,마포구,화물,계,2025,05,"11,924"
서울,마포구,특수,관용,2025,05,22
서울,마포구,특수,자가용,2025,05,263
서울,마포구,특수,영업용,2025,05,462
서울,마포구,특수,계,2025,05,747
서울,마포구,총계,관용,2025,05,345
서울,마포구,총계,자가용,2025,05,"113,193"
서울,마포구,총계,영업용,2025,05,"7,983"
서울,마포구,총계,계,2025,05,"121,521"
서울,서대문구,승용,관용,2025,05,208
서울,서대문구,승용,자가용,2025,05,"77,094"
서울,서대문구,승용,영업용,2025,05,"3,410"
서울,서대문구,승용,계,2025,05,"80,712"
서울,서대문구,승합,관용,2025,05,100
서울,서대문구,승합,자가용,2025,05,"1,902"
서울,서대문구,승합,영업용,2025,05,399
서울,서대문구,승합,계,2025,05,"2,401"
서울,서대문구,화물,관용,2025,05,136
서울,서대문구,화물,자가용,2025,05,"5,677"
서울,서대문구,화물,영업용,2025,05,"1,758"
서울,서대문구,화물,계,2025,05,"7,571"
서울,서대문구,특수,관용,2025,05,7
서울,서대문구,특수,자가용,2025,05,149
서울,서대문구,특수,영업용,2025,05,109
서울,서대문구,특수,계,2025,05,265
서울,서대문구,총계,관용,2025,05,451
서울,서대문구,총계,자가용,2025,05,"84,822"
서울,서대문구,총계,영업용,2025,05,"5,676"
서울,서대문구,총계,계,2025,05,"90,949"
서울,서초구,승용,관용,2025,05,175
서울,서초구,승용,자가용,2025,05,"153,429"
서울,서초구,승용,영업용,2025,05,"3,345"
서울,서초구,승용,계,2025,05,"156,949"
서울,서초구,승합,관용,2025,05,130
서울,서초구,승합,자가용,2025,05,"2,817"
서울,서초구,승합,영업용,2025,05,647
서울,서초구,승합,계,2025,05,"3,594"
서울,서초구,화물,관용,2025,05,181
서울,서초구,화물,자가용,2025,05,"10,431"
서울,서초구,화물,영업용,2025,05,"4,129"
서울,서초구,화물,계,2025,05,"14,741"
서울,서초구,특수,관용,2025,05,16
서울,서초구,특수,자가용,2025,05,275
서울,서초구,특수,영업용,2025,05,202
서울,서초구,특수,계,2025,05,493
서울,서초구,총계,관용,2025,05,502
서울,서초구,총계,자가용,2025,05,"166,952"
서울,서초구,총계,영업용,2025,05,"8,323"
서울,서초구,총계,계,2025,05,"175,777"
서울,성동구,승용,관용,2025,05,134
서울,성동구,승용,자가용,2025,05,"82,112"
서울,성동구,승용,영업용,2025,05,"7,925"
서울,성동구,승용,계,2025,05,"90,171"
서울,성동구,승합,관용,2025,05,49
서울,성동구,승합,자가용,2025,05,"1,688"
서울,성동구,승합,영업용,2025,05,904
서울,성동구,승합,계,2025,05,"2,641"
서울,성동구,화물,관용,2025,05,180
서울,성동구,화물,자가용,2025,05,"7,992"
서울,성동구,화물,영업용,2025,05,"1,915"
서울,성동구,화물,계,2025,05,"10,087"
서울,성동구,특수,관용,2025,05,17
서울,성동구,특수,자가용,2025,05,207
서울,성동구,특수,영업용,2025,05,131
서울,성동구,특수,계,2025,05,355
서울,성동구,총계,관용,2025,05,380
서울,성동구,총계,자가용,2025,05,"91,999"
서울,성동구,총계,영업용,2025,05,"10,875"
서울,성동구,총계,계,2025,05,"103,254"
서울,성북구,승용,관용,2025,05,92
서울,성북구,승용,자가용,2025,05,"105,816"
서울,성북구,승용,영업용,2025,05,"2,015"
서울,성북구,승용,계,2025,05,"107,923"
서울,성북구,승합,관용,2025,05,45
서울,성북구,승합,자가용,2025,05,"2,590"
서울,성북구,승합,영업용,2025,05,"1,098"
서울,성북구,승합,계,2025,05,"3,733"
서울,성북구,화물,관용,2025,05,143
서울,성북구,화물,자가용,2025,05,"8,298"
서울,성북구,화물,영업용,2025,05,"1,667"
서울,성북구,화물,계,2025,05,"10,108"
서울,성북구,특수,관용,2025,05,8
서울,성북구,특수,자가용,2025,05,208
서울,성북구,특수,영업용,2025,05,98
서울,성북구,특수,계,2025,05,314
서울,성북구,총계,관용,2025,05,288
서울,성북구,총계,자가용,2025,05,"116,912"
서울,성북구,총계,영업용,2025,05,"4,878"
서울,성북구,총계,계,2025,05,"122,078"
서울,송파구,승용,관용,2025,05,129
서울,송파구,승용,자가용,2025,05,"206,008"
서울,송파구,승용,영업용,2025,05,"7,490"
서울,송파구,승용,계,2025,05,"213,627"
서울,송파구,승합,관용,2025,05,106
서울,송파구,승합,자가용,2025,05,"3,805"
서울,송파구,승합,영업용,2025,05,"1,577"
서울,송파구,승합,계,2025,05,"5,488"
서울,송파구,화물,관용,2025,05,161
서울,송파구,화물,자가용,2025,05,"16,980"
서울,송파구,화물,영업용,2025,05,"4,745"
서울,송파구,화물,계,2025,05,"21,886"
서울,송파구,특수,관용,2025,05,19
서울,송파구,특수,자가용,2025,05,407
서울,송파구,특수,영업용,2025,05,393
서울,송파구,특수,계,2025,05,819
서울,송파구,총계,관용,2025,05,415
서울,송파구,총계,자가용,2025,05,"227,200"
서울,송파구,총계,영업용,2025,05,"14,205"
서울,송파구,총계,계,2025,05,"241,820"
서울,양천구,승용,관용,2025,05,131
서울,양천구,승용,자가용,2025,05,"126,748"
서울,양천구,승용,영업용,2025,05,"4,808"
서울,양천구,승용,계,2025,05,"131,687"
서울,양천구,승합,관용,2025,05,63
서울,양천구,승합,자가용,2025,05,"2,870"
